"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","Создание пользователя без email - возвращает 403","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","361","Создание заказа без авторизации но с ингредиентами - возвращает 200","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","52","Изменение данных с авторизацией - обновляется email","tests.user","2026-05-24","passed","2026-05-24","TestUserUpdate","test_user_update","",""
"","51","Создание пользователя, который уже зарегистрирован - возвращает 403","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","3557","Создание заказа с авторизацией и ингредиентами - возвращает success true","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","49","Создание заказа с авторизацией без ингредиентов - возвращает сообщение","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","340","Изменение данных без авторизации - возвращает 401","tests.user","2026-05-24","passed","2026-05-24","TestUserUpdate","test_user_update","",""
"","342","Получение заказов без авторизации - возвращает сообщение об ошибке","tests.orders","2026-05-24","passed","2026-05-24","TestGetUserOrders","test_get_orders","",""
"","425","Создание уникального пользователя - возвращается accessToken","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","51","Логин с неверным email - возвращает 401","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","429","Создание уникального пользователя - успешный сценарий","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","51","Создание существующего пользователя - возвращает сообщение об ошибке","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","342","Получение заказов без авторизации - возвращает 401","tests.orders","2026-05-24","passed","2026-05-24","TestGetUserOrders","test_get_orders","",""
"","130","Логин под существующим пользователем - возвращает accessToken","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","337","Создание пользователя без пароля - возвращает 403","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","343","Создание пользователя без email - возвращает сообщение об ошибке","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","344","Создание пользователя без имени - возвращает 403","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","48","Создание заказа с авторизацией без ингредиентов - возвращает 400","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","340","Изменение данных без авторизации - возвращает сообщение об ошибке","tests.user","2026-05-24","passed","2026-05-24","TestUserUpdate","test_user_update","",""
"","52","Изменение данных с авторизацией - возвращает 200","tests.user","2026-05-24","passed","2026-05-24","TestUserUpdate","test_user_update","",""
"","3544","Создание заказа с авторизацией и ингредиентами - возвращает 200","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","424","Создание уникального пользователя - возвращается success true","tests.user","2026-05-24","passed","2026-05-24","TestUserRegistration","test_user_registration","",""
"","50","Создание заказа с неверным хешем ингредиентов - возвращает 500","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","52","Логин с неверным email - возвращает сообщение об ошибке","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","131","Логин с неверным паролем - возвращает сообщение об ошибке","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","548","Получение заказов авторизованного пользователя - возвращает success true","tests.orders","2026-05-24","passed","2026-05-24","TestGetUserOrders","test_get_orders","",""
"","128","Логин под существующим пользователем - возвращает 200","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","127","Логин с неверным паролем - возвращает 401","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","140","Логин под существующим пользователем - возвращает success true","tests.user","2026-05-24","passed","2026-05-24","TestUserLogin","test_user_login","",""
"","547","Получение заказов авторизованного пользователя - возвращает список заказов","tests.orders","2026-05-24","passed","2026-05-24","TestGetUserOrders","test_get_orders","",""
"","54","Изменение данных с авторизацией - обновляется имя","tests.user","2026-05-24","passed","2026-05-24","TestUserUpdate","test_user_update","",""
"","554","Получение заказов авторизованного пользователя - возвращает 200","tests.orders","2026-05-24","passed","2026-05-24","TestGetUserOrders","test_get_orders","",""
"","349","Создание заказа без авторизации но с ингредиентами - возвращает success true","tests.orders","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
